Date,Open,High,Low,Close,Adj Close,Volume
2018-04-24,77.339996,77.389999,76.410004,76.559998,74.585831,723600
2018-04-25,76.269997,76.500000,76.019997,76.440002,74.468933,301800
2018-04-26,77.349998,77.379997,77.010002,77.199997,75.209328,337300
2018-04-27,77.239998,77.599998,76.849998,77.519997,75.521080,227700
2018-04-30,77.709999,77.800003,77.279999,77.360001,75.365204,205800
2018-05-01,77.260002,77.489998,76.510002,76.769997,74.790413,449500
2018-05-02,76.430000,76.720001,76.019997,76.099998,74.137695,417600
2018-05-03,76.230003,76.290001,75.849998,76.050003,74.088989,409900
2018-05-04,75.839996,76.379997,75.800003,76.300003,74.332542,277400
2018-05-07,77.339996,77.440002,77.080002,77.349998,75.355461,478700
2018-05-08,76.660004,76.970001,76.290001,76.669998,74.692993,448500
2018-05-09,76.870003,77.260002,76.739998,77.089996,75.102165,291100
2018-05-10,77.129997,77.360001,77.019997,77.309998,75.316490,480000
2018-05-11,77.690002,77.849998,77.330002,77.410004,75.413918,553900
2018-05-14,77.750000,77.760002,77.089996,77.139999,75.150879,222100
2018-05-15,76.419998,76.989998,76.290001,76.550003,74.576096,306900
2018-05-16,76.889999,77.080002,76.680000,76.730003,74.751457,437600
2018-05-17,76.790001,77.000000,76.699997,76.949997,74.965775,283100
2018-05-18,77.300003,77.419998,77.000000,77.160004,75.170364,266900
2018-05-21,77.169998,77.720001,77.169998,77.720001,75.715927,295300
2018-05-22,76.849998,77.099998,76.339996,76.400002,74.429962,353000
2018-05-23,76.250000,76.290001,75.629997,75.959999,74.001305,321800
2018-05-24,76.550003,76.769997,76.290001,76.699997,74.722221,425900
2018-05-25,76.709999,77.080002,76.599998,76.820000,74.839127,407500
2018-05-29,76.650002,76.919998,76.349998,76.550003,74.576096,433200
2018-05-30,76.739998,76.750000,76.010002,76.230003,74.264343,385500
2018-05-31,76.260002,76.349998,75.370003,75.669998,73.718781,850500
2018-06-01,75.739998,76.129997,75.599998,76.019997,74.059753,404300
2018-06-04,76.430000,76.500000,76.000000,76.070000,74.108467,249800
2018-06-05,76.190002,76.190002,75.470001,75.730003,73.777237,314200
2018-06-06,74.709999,75.370003,74.400002,75.370003,73.426521,588400
2018-06-07,74.760002,75.019997,74.650002,74.779999,72.851730,366600
2018-06-08,74.419998,74.779999,74.309998,74.730003,72.803024,580400
2018-06-11,75.559998,75.580002,75.320000,75.360001,73.416779,418000
2018-06-12,75.669998,75.760002,75.430000,75.449997,73.504456,462600
2018-06-13,75.779999,76.000000,75.519997,75.790001,73.835693,542900
2018-06-14,74.580002,75.169998,74.389999,74.730003,72.803024,610100
2018-06-15,74.959999,74.989998,74.629997,74.760002,72.832253,631600
2018-06-18,73.870003,74.019997,73.589996,73.860001,71.955460,475600
2018-06-19,74.010002,74.410004,73.919998,74.349998,72.432823,449100
2018-06-20,74.970001,75.050003,74.639999,74.690002,72.764053,1121900
2018-06-21,74.900002,75.010002,74.040001,74.070000,72.160042,400900
2018-06-22,75.040001,76.080002,74.949997,75.830002,73.874657,725600
2018-06-25,75.940002,76.029999,75.610001,75.660004,73.709045,851700
2018-06-26,75.739998,76.120003,75.570000,75.800003,73.845436,435400
2018-06-27,76.239998,76.540001,75.559998,75.589996,73.640846,970900
2018-06-28,76.389999,76.669998,76.309998,76.500000,74.527382,586100
2018-06-29,77.019997,77.440002,76.680000,77.430000,75.433403,1279300
2018-07-02,77.480003,78.050003,77.480003,77.910004,75.901024,367200
2018-07-03,79.489998,79.769997,79.129997,79.430000,77.381828,1519900
2018-07-05,79.739998,80.019997,79.540001,79.989998,77.927383,490300
2018-07-06,80.410004,80.800003,80.360001,80.559998,78.482689,261400
2018-07-09,80.580002,80.660004,80.040001,80.070000,78.005325,1125900
2018-07-10,80.059998,80.250000,79.949997,80.129997,78.063774,445500
2018-07-11,79.849998,80.250000,79.589996,79.750000,77.693581,275500
